imdb_id,title,wiki
tt0443701,The X Files: I Want to Believe,https://en.wikipedia.org/?curid=8700683
tt0086425,Terms of Endearment,https://en.wikipedia.org/?curid=113427
tt0366548,Happy Feet,https://en.wikipedia.org/?curid=1499348
tt1402488,Happy Feet Two,https://en.wikipedia.org/?curid=25230514
tt0088011,Romancing the Stone,https://en.wikipedia.org/?curid=578001
tt0089370,The Jewel of the Nile,https://en.wikipedia.org/?curid=2871613
tt0098621,The War of the Roses,https://en.wikipedia.org/?curid=30275589
tt0097778,Look Who's Talking,https://en.wikipedia.org/?curid=846820
tt0100050,Look Who's Talking Too,https://en.wikipedia.org/?curid=997955
tt0107438,Look Who's Talking Now,https://en.wikipedia.org/?curid=4845539
tt0250494,Legally Blonde,https://en.wikipedia.org/?curid=444267
tt0144084,American Psycho,https://en.wikipedia.org/?curid=4846576
tt0274166,Johnny English,https://en.wikipedia.org/?curid=255858
tt1634122,Johnny English Reborn,https://en.wikipedia.org/?curid=28190354
tt0267913,Scooby-Doo,https://en.wikipedia.org/?curid=1072075
tt0331632,Scooby-Doo 2: Monsters Unleashed,https://en.wikipedia.org/?curid=730734
tt0892769,How to Train Your Dragon,https://en.wikipedia.org/?curid=18394730
tt1646971,How to Train Your Dragon 2,https://en.wikipedia.org/?curid=32220715
tt0099785,Home Alone,https://en.wikipedia.org/?curid=216072
tt0104431,Home Alone 2: Lost in New York,https://en.wikipedia.org/?curid=294998
tt0119303,Home Alone 3,https://en.wikipedia.org/?curid=695249
tt0112453,Balto,https://en.wikipedia.org/?curid=1487971
tt0108333,The Three Musketeers,https://en.wikipedia.org/?curid=1962913
tt0073012,The Four Musketeers: Milady's Revenge,https://en.wikipedia.org/?curid=4968653
tt0120812,Rush Hour,https://en.wikipedia.org/?curid=489800
tt0266915,Rush Hour 2,https://en.wikipedia.org/?curid=652539
tt0293564,Rush Hour 3,https://en.wikipedia.org/?curid=2222699
tt0087928,Police Academy,https://en.wikipedia.org/?curid=6043780
tt0089822,Police Academy 2: Their First Assignment,https://en.wikipedia.org/?curid=1107070
tt0091777,Police Academy 3: Back in Training,https://en.wikipedia.org/?curid=3511253
tt0093756,Police Academy 4: Citizens on Patrol,https://en.wikipedia.org/?curid=4485641
tt0095882,Police Academy 5: Assignment: Miami Beach,https://en.wikipedia.org/?curid=1680034
tt0098105,Police Academy 6: City Under Siege,https://en.wikipedia.org/?curid=6043815
